message,emergency_type,decision
house is on fire,fire,IMMEDIATE_ESCALATION
apartment building on fire,fire,IMMEDIATE_ESCALATION
kitchen fire spreading fast,fire,IMMEDIATE_ESCALATION
factory fire with smoke everywhere,fire,IMMEDIATE_ESCALATION
warehouse burning heavily,fire,IMMEDIATE_ESCALATION
fire in my neighbor house,fire,IMMEDIATE_ESCALATION
large fire in office building,fire,IMMEDIATE_ESCALATION
school building caught fire,fire,IMMEDIATE_ESCALATION
hotel floor on fire,fire,IMMEDIATE_ESCALATION
gas cylinder exploded causing fire,fire,IMMEDIATE_ESCALATION
flames spreading to upper floors,fire,IMMEDIATE_ESCALATION
entire building is on fire people trapped,fire,IMMEDIATE_ESCALATION
fire broke out in the basement,fire,IMMEDIATE_ESCALATION
massive fire in shopping mall,fire,IMMEDIATE_ESCALATION
fire spreading rapidly no way to escape,fire,IMMEDIATE_ESCALATION
children trapped inside burning building,fire,IMMEDIATE_ESCALATION
fire engulfed the entire house,fire,IMMEDIATE_ESCALATION
explosion followed by fire in factory,fire,IMMEDIATE_ESCALATION
multiple floors burning in apartment,fire,IMMEDIATE_ESCALATION
fire blocking all exits people screaming,fire,IMMEDIATE_ESCALATION
person not breathing needs help now,medical,IMMEDIATE_ESCALATION
someone collapsed and is unconscious,medical,IMMEDIATE_ESCALATION
heart attack happening right now,medical,IMMEDIATE_ESCALATION
person is bleeding heavily from wound,medical,IMMEDIATE_ESCALATION
my granny is not breathing,medical,IMMEDIATE_ESCALATION
child is choking and cannot breathe,medical,IMMEDIATE_ESCALATION
person overdosed on medication unconscious,medical,IMMEDIATE_ESCALATION
severe allergic reaction person collapsing,medical,IMMEDIATE_ESCALATION
person drowning in swimming pool,medical,IMMEDIATE_ESCALATION
patient is unresponsive and turning blue,medical,IMMEDIATE_ESCALATION
someone fell from building bleeding badly,medical,IMMEDIATE_ESCALATION
man having seizure on the road,medical,IMMEDIATE_ESCALATION
woman collapsed in supermarket unconscious,medical,IMMEDIATE_ESCALATION
person stabbed and bleeding on street,medical,IMMEDIATE_ESCALATION
child fell from second floor not moving,medical,IMMEDIATE_ESCALATION
old man collapsed on stairs not responding,medical,IMMEDIATE_ESCALATION
person hit by car lying unconscious,medical,IMMEDIATE_ESCALATION
someone is dying need ambulance immediately,medical,IMMEDIATE_ESCALATION
person having severe chest pain collapsing,medical,IMMEDIATE_ESCALATION
baby not breathing turn blue need help,medical,IMMEDIATE_ESCALATION
man with gun threatening people,crime,IMMEDIATE_ESCALATION
armed robbery happening now,crime,IMMEDIATE_ESCALATION
someone breaking into my house,crime,IMMEDIATE_ESCALATION
person attacking people with knife,crime,IMMEDIATE_ESCALATION
gunshots heard nearby,crime,IMMEDIATE_ESCALATION
man chasing me with weapon,crime,IMMEDIATE_ESCALATION
kidnap attempt happening,crime,IMMEDIATE_ESCALATION
violent fight with weapons,crime,IMMEDIATE_ESCALATION
armed person outside bank,crime,IMMEDIATE_ESCALATION
dangerous criminal inside house,crime,IMMEDIATE_ESCALATION
intruder inside my house right now,crime,IMMEDIATE_ESCALATION
someone forced my door open with weapon,crime,IMMEDIATE_ESCALATION
thief broke into my home armed,crime,IMMEDIATE_ESCALATION
masked person entered my house with knife,crime,IMMEDIATE_ESCALATION
man stabbing people in the street,crime,IMMEDIATE_ESCALATION
shooting happening inside mall,crime,IMMEDIATE_ESCALATION
person being attacked with iron rod,crime,IMMEDIATE_ESCALATION
woman being dragged into car forcefully,crime,IMMEDIATE_ESCALATION
armed men robbing people at gunpoint,crime,IMMEDIATE_ESCALATION
someone firing shots outside my window,crime,IMMEDIATE_ESCALATION
major road accident multiple people injured,accident,IMMEDIATE_ESCALATION
car crash with people trapped inside,accident,IMMEDIATE_ESCALATION
bus overturned on highway many injured,accident,IMMEDIATE_ESCALATION
truck collision people bleeding on road,accident,IMMEDIATE_ESCALATION
train accident many passengers injured,accident,IMMEDIATE_ESCALATION
building collapsed people buried inside,accident,IMMEDIATE_ESCALATION
gas pipeline explosion injuries reported,accident,IMMEDIATE_ESCALATION
chemical plant explosion workers injured,accident,IMMEDIATE_ESCALATION
crane fell on workers at construction site,accident,IMMEDIATE_ESCALATION
multiple car pileup highway people trapped,accident,IMMEDIATE_ESCALATION
motorcycle accident rider unconscious bleeding,accident,IMMEDIATE_ESCALATION
pedestrian hit by speeding car not moving,accident,IMMEDIATE_ESCALATION
scaffolding collapsed workers fell injured,accident,IMMEDIATE_ESCALATION
electrical accident worker unconscious,accident,IMMEDIATE_ESCALATION
explosion in factory workers trapped,accident,IMMEDIATE_ESCALATION
vehicle fell into river passengers inside,accident,IMMEDIATE_ESCALATION
hit and run accident victim bleeding badly,accident,IMMEDIATE_ESCALATION
child run over by vehicle not conscious,accident,IMMEDIATE_ESCALATION
machine accident worker hand crushed,accident,IMMEDIATE_ESCALATION
boat capsized people drowning in river,accident,IMMEDIATE_ESCALATION
smoke visible from apartment window,fire,CONDITIONAL_ESCALATION
neighbor balcony has flames but no one nearby,fire,CONDITIONAL_ESCALATION
fire alarm triggered in my office building,fire,CONDITIONAL_ESCALATION
small kitchen fire contained but still smoking,fire,CONDITIONAL_ESCALATION
burning smell coming from electrical panel,fire,CONDITIONAL_ESCALATION
kitchen stove caught fire,fire,CONDITIONAL_ESCALATION
fire alarm going off in building,fire,CONDITIONAL_ESCALATION
electric wire burning smell in room,fire,CONDITIONAL_ESCALATION
smoke coming from apartment window,fire,CONDITIONAL_ESCALATION
small fire in trash bin near building,fire,CONDITIONAL_ESCALATION
possible fire smell coming from basement,fire,CONDITIONAL_ESCALATION
